text,label
Thanks for your help today!,SAFE
Congratulations! You won a new iPhone. Claim here: http://bit.ly/secure-login,SCAM
Mom: Call me when you land.,SAFE
Invoice paid. Receipt attached.,SAFE
Reminder: dentist appointment on Wednesday at 1:00 PM.,SAFE
FedEx: delivery failed. Reschedule: https://tinyurl.com/verify-now,SCAM
Your Amazon order #711 has shipped.,SAFE
Final notice: unpaid tax balance. Pay fee: https://tinyurl.com/verify-now,SCAM
Mom: Call me when you land.,SAFE
Your warranty is expiring. Contact 800-555-1212 to extend coverage.,SCAM
Reminder: dentist appointment on Wednesday at 9:00 AM.,SAFE
Mom: Call me when you land.,SAFE
Reminder: dentist appointment on Thursday at 11:30 AM.,SAFE
Library book due on Tuesday.,SAFE
Mom: Call me when you land.,SAFE
Your Amazon order #975 has shipped.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Invoice paid. Receipt attached.,SAFE
Dinner at The Diner tonight?,SAFE
Congratulations! You won a new iPhone. Claim here: http://bit.ly/secure-login,SCAM
Your Amazon order #814 has shipped.,SAFE
Mom: Call me when you land.,SAFE
Reminder: dentist appointment on Tuesday at 1:00 PM.,SAFE
Mom: Call me when you land.,SAFE
Thanks for your help today!,SAFE
Congratulations! You won a new iPhone. Claim here: http://bit.ly/secure-login,SCAM
Reminder: dentist appointment on Friday at 11:30 AM.,SAFE
Meeting moved to Monday 1:00 PM.,SAFE
Your SSN is flagged. Call 800-555-1212 now to verify your identity.,SCAM
Invoice paid. Receipt attached.,SAFE
Thanks for your help today!,SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
Library book due on Friday.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
Package delivered to your front door.,SAFE
Student loan forgiveness approved. Call 800-555-1212 to process.,SCAM
Your Amazon order #513 has shipped.,SAFE
Package delivered to your front door.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
URGENT: Your bank account has been locked. Verify now: http://short.co/pay-fee,SCAM
Meeting moved to Wednesday 1:00 PM.,SAFE
Mom: Call me when you land.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Library book due on Thursday.,SAFE
Package delivered to your front door.,SAFE
Invoice paid. Receipt attached.,SAFE
Package delivered to your front door.,SAFE
Mom: Call me when you land.,SAFE
Your Amazon order #402 has shipped.,SAFE
Package delivered to your front door.,SAFE
Dinner at The Diner tonight?,SAFE
Invoice paid. Receipt attached.,SAFE
This is the IRS. Immediate payment required today at 888-404-5000.,SCAM
Your Amazon order #551 has shipped.,SAFE
Your Amazon order #577 has shipped.,SAFE
FedEx: delivery failed. Reschedule: https://tinyurl.com/verify-now,SCAM
Package delivered to your front door.,SAFE
Your SSN is flagged. Call 877-333-9090 now to verify your identity.,SCAM
Invoice paid. Receipt attached.,SAFE
Library book due on Monday.,SAFE
Netflix membership expired. Reactivate now: https://tinyurl.com/verify-now,SCAM
Dinner at The Diner tonight?,SAFE
Your SSN is flagged. Call 800-555-1212 now to verify your identity.,SCAM
Library book due on Thursday.,SAFE
Meeting moved to Thursday 9:00 AM.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Package delivered to your front door.,SAFE
Library book due on Friday.,SAFE
Thanks for your help today!,SAFE
Your SSN is flagged. Call 800-555-1212 now to verify your identity.,SCAM
Congratulations! You won a new iPhone. Claim here: https://tinyurl.com/verify-now,SCAM
FedEx: delivery failed. Reschedule: https://tinyurl.com/verify-now,SCAM
Your SSN is flagged. Call 888-404-5000 now to verify your identity.,SCAM
Meeting moved to Tuesday 11:30 AM.,SAFE
Invoice paid. Receipt attached.,SAFE
Invoice paid. Receipt attached.,SAFE
Reminder: dentist appointment on Thursday at 1:00 PM.,SAFE
Student loan forgiveness approved. Call 800-555-1212 to process.,SCAM
Your Amazon order #605 has shipped.,SAFE
Library book due on Friday.,SAFE
This is the IRS. Immediate payment required today at 888-404-5000.,SCAM
Library book due on Tuesday.,SAFE
Your Amazon order #582 has shipped.,SAFE
Netflix membership expired. Reactivate now: http://bit.ly/secure-login,SCAM
Package delivered to your front door.,SAFE
Meeting moved to Friday 11:30 AM.,SAFE
Congratulations! You won a new iPhone. Claim here: http://short.co/pay-fee,SCAM
This is the IRS. Immediate payment required today at 877-333-9090.,SCAM
Your Amazon order #627 has shipped.,SAFE
Mom: Call me when you land.,SAFE
Thanks for your help today!,SAFE
